Front;;Back;;Tags
I don’t quite agree.;;I don’t quite agree, we still have time.<br>I don’t quite agree, the film was okay.<br>I don’t quite agree, city life is exciting.<br>I don’t quite agree, coffee isn’t that bad.<br>I don’t quite agree, the price is fair.;;2-Agree-Disagree
I’m afraid I disagree.;;I’m afraid I disagree, social media does harm.<br>I’m afraid I disagree, the plan won’t work.<br>I’m afraid I disagree, dogs are better.<br>I’m afraid I disagree, it’s too risky.<br>I’m afraid I disagree, mornings are awful.;;2-Agree-Disagree
I see your point, but…;;I see your point, but we can’t afford it.<br>I see your point, but I still want to try.<br>I see your point, but the risk is too high.<br>I see your point, but I prefer the city.<br>I see your point, but deadlines matter.;;2-Agree-Disagree
That’s not entirely true.;;That’s not entirely true, I did reply later.<br>That’s not entirely true, it does save time.<br>That’s not entirely true, I was only five minutes late.<br>That’s not entirely true, some cats are friendly.<br>That’s not entirely true, the shop was open.;;2-Agree-Disagree
I’m not convinced.;;Cheaper is always better? I’m not convinced.<br>One week is enough? I’m not convinced.<br>He’s changed? I’m not convinced.<br>It’ll be ready tomorrow? I’m not convinced.<br>This diet works? I’m not convinced.;;2-Agree-Disagree
With respect, I think…;;With respect, I think you’ve missed something.<br>With respect, I think the data is wrong.<br>With respect, I think we need more time.<br>With respect, I think the price is too high.<br>With respect, I think another approach would work better.;;2-Agree-Disagree
I beg to differ.;;Everyone loves it, but I beg to differ.<br>It’s impossible? I beg to differ.<br>Cats are best? I beg to differ.<br>The meeting was useful? I beg to differ.<br>Summer is awful? I beg to differ.;;2-Agree-Disagree
Not really.;;"Do you like jazz?" "Not really."<br>"Are you tired?" "Not really."<br>"Was it expensive?" "Not really."<br>"Cold today?" "Not really."<br>"Hungry yet?" "Not really.";"Do you like jazz?" "Not really." "Are you tired?" "Not really." "Was it expensive?" "Not really." "Cold today?" "Not really." "Hungry yet?" "Not really.";;2-Agree-Disagree
I don’t think so.;;"Is he coming?" "I don’t think so."<br>"Will it rain?" "I don’t think so."<br>"Are we late?" "I don’t think so."<br>"Did she forget?" "I don’t think so."<br>"Is it far?" "I don’t think so.";"Is he coming?" "I don’t think so." "Will it rain?" "I don’t think so." "Are we late?" "I don’t think so." "Did she forget?" "I don’t think so." "Is it far?" "I don’t think so.";;2-Agree-Disagree
That’s not how I see it.;;You think it’s funny? That’s not how I see it.<br>You call this art? That’s not how I see it.<br>You think it’s cheap? That’s not how I see it.<br>You think he’s honest? That’s not how I see it.<br>You think it’s easy? That’s not how I see it.;;2-Agree-Disagree
On the contrary…;;I’m not tired. On the contrary, I’m full of energy.<br>I don’t hate it. On the contrary, I love it.<br>It wasn’t boring. On the contrary, it was exciting.<br>She’s not shy. On the contrary, she’s very confident.<br>It’s not cold. On the contrary, it’s boiling.;;2-Agree-Disagree
