Front;;Back;;Tags
23. If I’m being honest...;;If I’m being honest, I only came for the free food.<br>If I’m being honest, I don’t really like parties.<br>If I’m being honest, I’m a bit nervous.<br>If I’m being honest, the cake was disappointing.<br>If I’m being honest, I’d rather work alone.;;1-Opinions

24. Between you and me...;;Between you and me, I think she’s leaving next month.<br>Between you and me, the boss is dating someone in accounting.<br>Between you and me, this place is closing down.<br>Between you and me, he failed the test.<br>Between you and me, I never liked him.;;1-Opinions

25. Off the record...;;Off the record, the company is in financial trouble.<br>Off the record, they’re planning big layoffs.<br>Off the record, she’s getting promoted next week.<br>Off the record, the new product is delayed again.<br>Off the record, nobody trusts the new manager.;;1-Opinions

26. I have a feeling that...;;I have a feeling that this is going to be a great year.<br>I have a feeling that something’s wrong.<br>I have a feeling that we’re being watched.<br>I have a feeling that rain is coming.<br>I have a feeling that he’s hiding something.;;1-Opinions

27. Something tells me...;;Something tells me we’re going to regret this.<br>Something tells me she’s not coming.<br>Something tells me the price will drop soon.<br>Something tells me he’s lying.<br>Something tells me tonight will be fun.;;1-Opinions

28. I get the impression that...;;I get the impression that she doesn’t like me.<br>I get the impression that they’re hiding something.<br>I get the impression that the party is cancelled.<br>I get the impression that he’s very shy.<br>I get the impression that prices are going up.;;1-Opinions

29. As I see it...;;As I see it, there’s no better time than now.<br>As I see it, we should take the offer.<br>As I see it, honesty is the only way.<br>As I see it, he’s not ready yet.<br>As I see it, summer starts in May.;;1-Opinions

30. For what it’s worth...;;For what it’s worth, I think you’re making the right choice.<br>For what it’s worth, my advice is to apologise.<br>For what it’s worth, the weather looks terrible tomorrow.<br>For what it’s worth, I never really liked that restaurant.<br>For what it’s worth, you look amazing today.;;1-Opinions
